Timestamp,RPM,TPS_percent,IAT_C,MAP_kPa,PulseWidth_ms,AnalogIn1_V,AnalogIn2_V,AnalogIn3_V,AnalogIn4_V,VSS_kmh,Baro_kPa,OilTemp_C,OilPressure_bar,FuelPressure_bar,CLT_C,IgnAngle_deg,DwellTime_ms,WBO_Lambda,LambdaCorrection_percent,EGT1_C,EGT2_C,Gear,EmuTemp_C,Batt_V,CEL_Error,Flags1,Ethanol_percent,DBW_Pos_percent,DBW_Target_percent,TC_drpm_raw,TC_drpm,TC_TorqueReduction_percent,PitLimit_TorqueReduction_percent,AnalogIn5_V,AnalogIn6_V,OutFlags1,OutFlags2,OutFlags3,OutFlags4,BoostTarget_kPa,PWM1_DC_percent,DSG_Mode,LambdaTarget,PWM2_DC_percent,FuelUsed_L
2025-07-25 01:13:08.166,3000,25.0,20,200,15.112873,1.9970703125,2.998046875,3.9990234375,5.0,20,70,40,0.5,0.5,0,0.0,2.0,0.6953125,85.0,800,800,2,40,11.475,2,4,40,1.0,1.0,400,400,20,20,1.9970703125,2.998046875,4,5,6,7,100,20,3,0.2,20,4.0
2025-07-25 01:13:08.817,4000,30.0,40,300,20.161250000000003,2.998046875,3.9990234375,5.0,5.99609375,30,80,60,1.0,1.0,20,15.0,3.0,0.796875,90.0,1000,1000,3,50,11.988,3,5,50,1.5,1.5,500,500,30,30,2.998046875,3.9990234375,5,6,7,0,200,30,4,0.3,30,5.0
2025-07-25 01:13:09.469,5000,35.0,60,400,25.193498,3.9990234375,5.0,5.99609375,6.9970703125,40,90,80,1.5,1.5,40,30.0,4.0,0.8984375,95.0,1200,1200,4,60,12.474,4,6,60,2.0,2.0,600,600,40,40,3.9990234375,5.0,6,7,0,1,300,40,5,0.4,40,6.0
2025-07-25 01:13:10.120,6000,40.0,80,500,30.241875,5.0,5.99609375,6.9970703125,7.998046875,50,100,100,2.0,2.0,60,-30.0,5.0,1.0,100.0,1400,1400,5,70,12.987,5,7,70,2.5,2.5,700,700,50,50,5.0,5.99609375,7,0,1,2,400,50,6,0.5,50,7.0
2025-07-25 01:13:10.771,7000,45.0,100,600,35.274123,5.99609375,6.9970703125,7.998046875,8.9990234375,60,110,120,2.5,2.5,80,-15.0,6.0,1.09375,105.0,0,0,6,80,13.5,6,0,80,3.0,3.0,0,0,60,60,5.99609375,6.9970703125,0,1,2,3,500,60,7,0.6,60,0.0
2025-07-25 01:13:11.423,8000,50.0,120,0,40.322500000000005,6.9970703125,7.998046875,8.9990234375,0.0,70,120,140,3.0,3.0,100,0.0,7.0,1.1953125,110.0,200,200,7,90,13.986,7,1,90,3.5,3.5,100,100,70,70,6.9970703125,7.998046875,1,2,3,4,600,70,15,0.7000000000000001,70,1.0
2025-07-25 01:13:12.074,9000,0.0,-40,100,45.354748,7.998046875,8.9990234375,0.0,0.99609375,80,130,160,0.0,0.0,120,15.0,8.0,0.59375,115.0,400,400,8,100,10.988999999999999,8,2,100,4.0,4.0,200,200,80,80,7.998046875,8.9990234375,2,3,4,5,0,80,2,0.8,80,2.0
2025-07-25 01:13:12.726,0,5.0,-20,200,0.0,8.9990234375,0.0,0.99609375,1.9970703125,90,50,0,0.5,0.5,130,30.0,9.0,0.6953125,120.0,600,600,0,20,11.475,9,3,0,0.0,0.0,300,300,0,0,8.9990234375,0.0,3,4,5,6,100,90,3,0.9,90,3.0
2025-07-25 01:13:14.377,0,0.0,-40,0,0.0,0.0,0.99609375,1.9970703125,2.998046875,0,60,20,1.0,1.0,-40,-30.0,0.0,0.796875,75.0,800,800,1,30,11.988,0,4,10,0.5,0.5,400,400,10,10,0.0,0.99609375,4,5,6,7,200,0,4,0.0,0,4.0
2025-07-25 01:13:15.028,1000,5.0,-20,100,5.032248,0.0,0.99609375,1.9970703125,2.998046875,0,50,0,0.0,0.0,-40,-30.0,0.0,0.59375,75.0,0,0,0,20,10.988999999999999,0,0,0,0.0,0.0,0,0,0,0,0.0,0.99609375,0,1,2,3,0,0,2,0.0,0,0.0
2025-07-25 01:13:15.679,2000,10.0,0,200,10.080625000000001,0.99609375,1.9970703125,2.998046875,3.9990234375,10,60,20,0.5,0.5,-20,-15.0,1.0,0.6953125,80.0,200,200,1,30,11.475,1,1,10,0.5,0.5,100,100,10,10,0.99609375,1.9970703125,1,2,3,4,100,10,3,0.1,10,1.0
2025-07-25 01:13:16.330,3000,15.0,20,300,15.112873,1.9970703125,2.998046875,3.9990234375,5.0,20,70,40,1.0,1.0,0,0.0,2.0,0.796875,85.0,400,400,2,40,11.988,2,2,20,1.0,1.0,200,200,20,20,1.9970703125,2.998046875,2,3,4,5,200,20,4,0.2,20,2.0
2025-07-25 01:13:16.982,4000,20.0,40,400,20.161250000000003,2.998046875,3.9990234375,5.0,5.99609375,30,80,60,1.5,1.5,20,15.0,3.0,0.8984375,90.0,600,600,3,50,12.474,3,3,30,1.5,1.5,300,300,30,30,2.998046875,3.9990234375,3,4,5,6,300,30,5,0.3,30,3.0
2025-07-25 01:13:17.633,5000,25.0,60,500,25.193498,3.9990234375,5.0,5.99609375,6.9970703125,40,90,80,2.0,2.0,40,30.0,4.0,1.0,95.0,800,800,4,60,12.987,4,4,40,2.0,2.0,400,400,40,40,3.9990234375,5.0,4,5,6,7,400,40,6,0.4,40,4.0
2025-07-25 01:13:18.284,6000,30.0,80,600,30.241875,5.0,5.99609375,6.9970703125,7.998046875,50,100,100,2.5,2.5,60,-30.0,5.0,1.09375,100.0,1000,1000,5,70,13.5,5,5,50,2.5,2.5,500,500,50,50,5.0,5.99609375,5,6,7,0,500,50,7,0.5,50,5.0
2025-07-25 01:13:18.936,7000,35.0,100,0,35.274123,5.99609375,6.9970703125,7.998046875,8.9990234375,60,110,120,3.0,3.0,80,-15.0,6.0,1.1953125,105.0,1200,1200,6,80,13.986,6,6,60,3.0,3.0,600,600,60,60,5.99609375,6.9970703125,6,7,0,1,600,60,15,0.6,60,6.0
2025-07-25 01:13:19.587,8000,40.0,120,100,40.322500000000005,6.9970703125,7.998046875,8.9990234375,0.0,70,120,140,0.0,0.0,100,0.0,7.0,0.59375,110.0,1400,1400,7,90,10.988999999999999,7,7,70,3.5,3.5,700,700,70,70,6.9970703125,7.998046875,7,0,1,2,0,70,2,0.7000000000000001,70,7.0
2025-07-25 01:13:20.238,9000,45.0,-40,200,45.354748,7.998046875,8.9990234375,0.0,0.99609375,80,130,160,0.5,0.5,120,15.0,8.0,0.6953125,115.0,0,0,8,100,11.475,8,0,80,4.0,4.0,0,0,80,80,7.998046875,8.9990234375,0,1,2,3,100,80,3,0.8,80,0.0
2025-07-25 01:13:20.890,0,50.0,-20,300,0.0,8.9990234375,0.0,0.99609375,1.9970703125,90,50,0,1.0,1.0,130,30.0,9.0,0.796875,120.0,200,200,0,20,11.988,9,1,90,0.0,0.0,100,100,0,0,8.9990234375,0.0,1,2,3,4,200,90,4,0.9,90,1.0
2025-07-25 01:13:21.541,1000,0.0,0,400,5.032248,0.0,0.99609375,1.9970703125,2.998046875,0,60,20,1.5,1.5,-40,-30.0,0.0,0.8984375,75.0,400,400,1,30,12.474,0,2,100,0.5,0.5,200,200,10,10,0.0,0.99609375,2,3,4,5,300,0,5,0.0,0,2.0
2025-07-25 01:13:22.192,2000,5.0,20,500,10.080625000000001,0.99609375,1.9970703125,2.998046875,3.9990234375,10,70,40,2.0,2.0,-20,-15.0,1.0,1.0,80.0,600,600,2,40,12.987,1,3,0,1.0,1.0,300,300,20,20,0.99609375,1.9970703125,3,4,5,6,400,10,6,0.1,10,3.0
2025-07-25 01:13:22.844,3000,10.0,40,600,15.112873,1.9970703125,2.998046875,3.9990234375,5.0,20,80,60,2.5,2.5,0,0.0,2.0,1.09375,85.0,800,800,3,50,13.5,2,4,10,1.5,1.5,400,400,30,30,1.9970703125,2.998046875,4,5,6,7,500,20,7,0.2,20,4.0
2025-07-25 01:13:23.495,4000,15.0,60,0,20.161250000000003,2.998046875,3.9990234375,5.0,5.99609375,30,90,80,3.0,3.0,20,15.0,3.0,1.1953125,90.0,1000,1000,4,60,13.986,3,5,20,2.0,2.0,500,500,40,40,2.998046875,3.9990234375,5,6,7,0,600,30,15,0.3,30,5.0
2025-07-25 01:13:24.147,5000,20.0,80,100,25.193498,3.9990234375,5.0,5.99609375,6.9970703125,40,100,100,0.0,0.0,40,30.0,4.0,0.59375,95.0,1200,1200,5,70,10.988999999999999,4,6,30,2.5,2.5,600,600,50,50,3.9990234375,5.0,6,7,0,1,0,40,2,0.4,40,6.0
2025-07-25 01:13:24.798,6000,25.0,100,200,30.241875,5.0,5.99609375,6.9970703125,7.998046875,50,110,120,0.5,0.5,60,-30.0,5.0,0.6953125,100.0,1400,1400,6,80,11.475,5,7,40,3.0,3.0,700,700,60,60,5.0,5.99609375,7,0,1,2,100,50,3,0.5,50,7.0
2025-07-25 01:13:25.449,7000,30.0,120,300,35.274123,5.99609375,6.9970703125,7.998046875,8.9990234375,60,120,140,1.0,1.0,80,-15.0,6.0,0.796875,105.0,0,0,7,90,11.988,6,0,50,3.5,3.5,0,0,70,70,5.99609375,6.9970703125,0,1,2,3,200,60,4,0.6,60,0.0
2025-07-25 01:13:26.101,8000,35.0,-40,400,40.322500000000005,6.9970703125,7.998046875,8.9990234375,0.0,70,130,160,1.5,1.5,100,0.0,7.0,0.8984375,110.0,200,200,8,100,12.474,7,1,60,4.0,4.0,100,100,80,80,6.9970703125,7.998046875,1,2,3,4,300,70,5,0.7000000000000001,70,1.0
2025-07-25 01:13:26.752,9000,40.0,-20,500,45.354748,7.998046875,8.9990234375,0.0,0.99609375,80,50,0,2.0,2.0,120,15.0,8.0,1.0,115.0,400,400,0,20,12.987,8,2,70,0.0,0.0,200,200,0,0,7.998046875,8.9990234375,2,3,4,5,400,80,6,0.8,80,2.0
